t_C,T_K,Ps_bar,vl_m3_kg,vg_m3_kg,Hl_kJ_kg,Hv_kJ_kg,delta_hv,sl_kJ_kgK,sv_kJ_kgK,Cpl_kJ_kgK,Cpv_kJ_kgK,wl_m_s,wv_m_s,kl_1,kv_1,etal_uPas,etav_uPas,lambda_mW_mK,lambda_mW_mK
218,491.15,22.3187,0.00118656,0.0894214,934.409,2800.45,1866.04,2.4993,6.2986,4.5975,3.2907,1271,504.76,610.04,1.2766,122.9,16.29,649.9,42.89
220,493.15,23.1929,0.00119016,0.0861007,943.642,2801.05,1857.41,2.5178,6.2842,4.6107,3.328,1263.9,504.76,578.76,1.2759,121.8,16.35,648.2,43.34
222,495.15,24.0933,0.00119381,0.0829236,952.9,2801.59,1848.69,2.5363,6.2699,4.6243,3.3662,1256.8,504.73,549.14,1.2751,120.6,16.42,646.4,43.8
224,497.15,25.0205,0.00119752,0.0798826,962.185,2802.05,1839.87,2.5548,6.2557,4.6383,3.4053,1249.5,504.68,521.09,1.2743,119.5,16.49,644.7,44.27
226,499.15,25.9749,0.00120129,0.076971,971.498,2802.45,1830.95,2.5733,6.2414,4.6528,3.4453,1242.2,504.6,494.52,1.2735,118.4,16.56,642.8,44.75
228,501.15,26.9572,0.00120512,0.0741823,980.839,2802.76,1821.93,2.5917,6.2272,4.6676,3.4863,1234.8,504.5,469.35,1.2728,117.3,16.63,641,45.23
230,503.15,27.9679,0.00120901,0.0715102,990.21,2803.01,1812.8,2.6102,6.2131,4.6829,3.5283,1227.3,504.38,445.49,1.272,116.2,16.7,639.1,45.72
232,505.15,29.0075,0.00121297,0.0689492,999.609,2803.18,1803.57,2.6285,6.1989,4.6987,3.5713,1219.8,504.23,422.87,1.2712,115.1,16.78,637.1,46.23
234,507.15,30.0767,0.00121699,0.0664936,1009.04,2803.27,1794.23,2.6469,6.1848,4.715,3.6154,1212.2,504.05,401.43,1.2704,114.1,16.85,635.2,46.73
236,509.15,31.1758,0.00122108,0.0641385,1018.5,2803.28,1784.78,2.6653,6.1707,4.7317,3.6606,1204.5,503.85,381.09,1.2696,113.1,16.92,633.1,47.25
238,511.15,32.3056,0.00122523,0.0618788,1028,2803.21,1775.22,2.6836,6.1566,4.749,3.707,1196.7,503.63,361.8,1.2688,112.1,16.99,631.1,47.78
240,513.15,33.4665,0.00122946,0.0597101,1037.52,2803.06,1765.54,2.7019,6.1425,4.7668,3.7545,1188.8,503.38,343.49,1.268,111.1,17.06,629,48.32
242,515.15,34.6592,0.00123376,0.057628,1047.08,2802.82,1755.74,2.7203,6.1285,4.7852,3.8033,1180.9,503.1,326.12,1.2672,110.1,17.13,626.8,48.87
244,517.15,35.8843,0.00123814,0.0556284,1056.68,2802.5,1745.82,2.7385,6.1144,4.8042,3.8534,1172.9,502.79,309.63,1.2664,109.1,17.21,624.6,49.42
246,519.15,37.1423,0.00124259,0.0537073,1066.31,2802.1,1735.78,2.7568,6.1003,4.8238,3.9048,1164.8,502.46,293.97,1.2656,108.2,17.28,622.4,49.99
248,521.15,38.4338,0.00124712,0.0518612,1075.98,2801.6,1725.62,2.7751,6.0863,4.8441,3.9576,1156.6,502.1,279.1,1.2648,107.2,17.35,620.1,50.57
250,523.15,39.7594,0.00125174,0.0500866,1085.69,2801.01,1715.33,2.7934,6.0722,4.865,4.0119,1148.4,501.71,264.98,1.264,106.3,17.43,617.8,51.16
252,525.15,41.1197,0.00125644,0.0483801,1095.43,2800.33,1704.9,2.8117,6.0582,4.8866,4.0677,1140,501.3,251.56,1.2632,105.4,17.5,615.5,51.76
254,527.15,42.5154,0.00126122,0.0467386,1105.22,2799.56,1694.34,2.8299,6.0441,4.9089,4.1251,1131.6,500.85,238.81,1.2624,104.5,17.58,613,52.38
256,529.15,43.9471,0.0012661,0.0451592,1115.04,2798.69,1683.64,2.8482,6.03,4.932,4.1843,1123.1,500.38,226.7,1.2616,103.6,17.66,610.6,53.01
258,531.15,45.4153,0.00127107,0.043639,1124.91,2797.71,1672.8,2.8664,6.0158,4.956,4.2452,1114.5,499.87,215.179,1.2608,102.7,17.73,608.1,53.65
